audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,64,0.06400000872,single,accepted,15659.507436514346,-2.424379848946446,6.121137279584762,,,
may2015-row-001-midpoint,64,0.06400000872,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,64,0.06400000872,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,65,0.0650000087,single,accepted,15659.121266436287,-2.422172142171088,6.120648970690917,,,
may2015-row-001-midpoint,65,0.0650000087,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,65,0.0650000087,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,66,0.06600000868,single,accepted,15658.724917698466,-2.4199644822947843,6.120176500093644,,,
may2015-row-001-midpoint,66,0.06600000868,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,66,0.06600000868,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,67,0.06700000866,single,accepted,15658.318343613577,-2.417756867785106,6.119719634695717,,,
may2015-row-001-midpoint,67,0.06700000866,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,67,0.06700000866,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,68,0.06800000864,single,accepted,15657.901497221319,-2.4155492970972037,6.119278148358133,,,
may2015-row-001-midpoint,68,0.06800000864,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,68,0.06800000864,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,69,0.06900000862,single,accepted,15657.474331286405,-2.4133417686737246,6.118851821592996,,,
may2015-row-001-midpoint,69,0.06900000862,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
